Field1,Objective,BloodID,PlateID,CqGAPDH,U_PlateID,DiffGAPDH,EffGAPDH,CqTelomere,DiffTelomere,EffTelomere,RTL,ID,Whodunnit,BirdID,LayYear,RightTarsus,LeftTarsus,BodyMass,EyeColour,Ageclass,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,SexEstimate,MaxOfMaxOfSeenDate
29,1,5,12,21.52466667,1_12,0.238,1.997,27.2375,27.305,1.499333333,0.000723089,29,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
30,1,6,12,24.67766667,1_12,0.322,2.002,30.26033333,0.349,1.744333333,0.000200268,30,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
31,1,2410,12,32.6,1_12,1.103,2.024,29.53866667,0.527,1.728,0.090666773,31,EB,1202,1997,26.1,25.8,17.8,,SA,22,717,26/07/1997,52,62,ABX,1,21/02/1998
32,1,2412,12,23.92866667,1_12,0.28,1.932666667,14.18,0.235,1.663333333,0.896382249,32,EB,221,1988,28.1,27.8,16.9,,A,22,716,26/07/1997,39,45,BrM,1,20/11/2005
33,1,2413,12,23.81166667,1_12,0.313,1.887333333,13.2615,1.936,1.717,1.463920248,33,EB,1203,1996,27.2,27.2,16.9,,A,22,717,26/07/1997,46,54,BrM,1,07/09/1999
34,1,2414,12,24.20466667,1_12,0.446,1.939333333,14.06733333,0.915,1.678,1.149155682,34,EB,65,1987,25.9,25.9,18.6,,A,22,717,26/07/1997,48,56,BrM,1,12/03/1998
35,1,2417,12,23.42833333,1_12,0.206,1.894,12.657,1.174,1.692,1.517984333,35,EB,608,1993,24.6,,15.5,,A,22,719,27/07/1997,50,59,ABX,0,14/02/1998
36,1,2418,12,23.838,1_12,0.098,1.857333333,13.832,0.902,1.673333333,1.069711672,36,EB,850,1994,23.9,23.5,13.4,,A,22,719,27/07/1997,50,59,BrF,0,03/08/1997
37,1,2420,12,24.622,1_12,0.026,1.929333333,14.65266667,0.027,1.699666667,1.133490225,37,EB,477,,25.0,25.1,15.3,,A,22,720,27/07/1997,92,126,BrM,1,21/02/1998
38,1,1,13,38.737,1_13,1.449,1.926666667,10.92366667,0.491,1.735,91902.93711,38,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
39,1,2,13,37.8295,1_13,38.079,1.579,14.69366667,0.141,1.721333333,502.4202055,39,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
40,1,4,13,37.208,1_13,1.248,1.898,22.93666667,0.317,1.759333333,33.8160637,40,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
