Field1,Objective,BloodID,PlateID,CqGAPDH,U_PlateID,DiffGAPDH,EffGAPDH,CqTelomere,DiffTelomere,EffTelomere,RTL,ID,Whodunnit,BirdID,LayYear,RightTarsus,LeftTarsus,BodyMass,EyeColour,Ageclass,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,SexEstimate,MaxOfMaxOfSeenDate
911,3,3880,19,24.156,3_19,0.154,1.857333333,13.745,0.263,1.683666667,1.051267846,911,EB,2963,2003,24.5,,16.7,RB,A,85,2241,14/01/2008,4378,86,ABX,0,29/07/2010
912,3,3882,19,24.03866667,3_19,0.586,1.889666667,14.124,1.125,1.707333333,0.796387183,912,EB,1872,2003,24.7,,14.2,RB,A,85,2133,15/01/2008,4423,171,BrF,0,26/06/2012
913,3,1,2,11.81966667,3_2,0.118,2.004666667,11.23,0.186,1.727666667,0.000636657,913,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
914,3,2,2,15.00833333,3_2,0.01,2.047666667,15.68,0.111,1.717666667,0.000408829,914,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
915,3,3,2,18.57633333,3_2,0.362,1.938666667,19.64466667,0.25,1.737666667,0.000872571,915,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
916,3,4,2,21.953,3_2,0.099,2.022666667,23.20833333,0.208,1.76,0.000877922,916,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
917,3,5,2,26.03866667,3_2,0.168,1.944,26.317,28.201,1.480666667,0.017228358,917,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
918,3,6,2,29.08033333,3_2,0.345,1.961,28.37933333,0.382,1.720333333,0.008653271,918,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
919,3,3126,2,24.81033333,3_2,0.41,1.962333333,14.24133333,0.497,1.677,1.011563736,919,EB,1536,1999,24.1,,16.0,RB,A,75,1883,28/07/2006,3786,36,BrF,0,26/08/2008
920,3,3131,2,25.25066667,3_2,0.51,1.891666667,17.2275,4.181,1.672333333,0.297691991,920,EB,1795,2002,25.2,,16.5,RB,A,75,1893,02/08/2006,3775,22,BrM,1,19/08/2009
921,3,3143,2,23.92066667,3_2,0.437,1.917333333,13.00766667,0.311,1.674,1.091962498,921,EB,3020,2004,26.7,,16.8,RB,A,75,1909,08/08/2006,3774,20,AB,1,14/07/2007
921,3,3143,2,23.92066667,3_2,0.437,1.917333333,13.00766667,0.311,1.674,1.091962498,921,EB,3020,2004,26.7,,16.8,RB,A,75,1909,08/08/2006,3789,40,BrM,1,14/07/2007
922,3,3144,2,24.07766667,3_2,0.331,1.875,12.10666667,0.606,1.650333333,1.903395996,922,EB,1510,1999,24.0,,14.8,RB,A,75,1908,08/08/2006,3777,24,BrF,0,07/01/2009
923,3,3151,2,24.07033333,3_2,0.267,1.902333333,13.47266667,0.321,1.697,0.987134187,923,EB,1419,1999,23.5,,15.1,RB,A,75,1908,08/08/2006,3775,22,BrF,0,10/01/2008
924,3,3159,2,25.004,3_2,1.113,1.850666667,13.597,0.135,1.689333333,1.705970184,924,EB,1743,2002,25.5,,17.0,RB,A,75,1911,09/08/2006,3788,39,BrM,1,02/01/2009
925,3,4319,2,24.32133333,3_2,0.117,1.850333333,13.24633333,0.143,1.670666667,1.313686579,925,EB,5335,2008,27.1,,16.1,LB,SA,92,2453,13/07/2009,4731,48,ABX,1,23/05/2013
925,3,4319,2,24.32133333,3_2,0.117,1.850333333,13.24633333,0.143,1.670666667,1.313686579,925,EB,5335,2008,27.1,,16.1,LB,SA,92,2453,13/07/2009,4746,69,SEEN1,1,23/05/2013
926,3,1,20,11.97466667,3_20,0.079,2.012666667,11.96233333,0.586,1.754333333,0.000409575,926,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
927,3,2,20,15.26,3_20,0.064,2.020666667,13.772,0.391,1.767,0.001423668,927,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
928,3,3,20,18.692,3_20,0.031,1.989333333,17.591,0.185,1.744,0.002085676,928,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
929,3,4,20,22.12066667,3_20,0.183,2.015333333,21.38066667,0.464,1.726333333,0.002774328,929,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
930,3,5,20,26.245,3_20,0.121,1.920333333,24.401,24.552,1.487666667,0.040676044,930,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
931,3,6,20,29.19933333,3_20,0.521,1.885,27.35066667,0.27,1.723666667,0.01171315,931,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
932,3,3881,20,24.17766667,3_20,0.228,1.943666667,14.566,0.046,1.684,0.502330854,932,EB,3089,2004,26.8,,18.2,,A,85,2241,14/01/2008,4378,86,BrM,1,14/09/2015
933,3,3884,20,23.38066667,3_20,0.165,1.825333333,12.99533333,0.249,1.703666667,0.753563615,933,EB,1871,2003,25.7,,16.4,,A,85,2134,16/01/2008,4384,94,BrM,1,06/01/2009
934,3,3887,20,24.0925,3_20,1.414,1.848666667,13.488,0.27,1.699333333,0.877552737,934,EB,3615,2005,26.6,,16.5,RB,A,85,2242,17/01/2008,4337,33,BrM,1,28/08/2009
935,3,3888,20,23.99033333,3_20,0.147,1.859333333,13.06366667,0.254,1.68,1.01182933,935,EB,5077,2007,24.5,,,LB,SA,85,2242,17/01/2008,4367,72,ABX,1,29/07/2015
936,3,3889,20,24.52366667,3_20,0.252,1.815333333,15.66566667,0.047,1.614,0.390274614,936,EB,4875,2006,24.4,,13.7,LB,A,85,2242,17/01/2008,4334,28,ABX,0,19/08/2009
937,3,3895,20,24.54133333,3_20,0.711,1.874333333,13.645,0.048,1.684,1.051034414,937,EB,4878,2006,24.1,,13.9,LB,A,85,2135,18/01/2008,4366,71,BrF,0,30/08/2008
938,3,3896,20,23.95933333,3_20,0.285,1.851,13.361,0.214,1.683,0.856075551,938,EB,4896,2006,24.4,,15.0,LB,A,85,2135,18/01/2008,4348,48,BrF,0,09/09/2015
939,3,3899,20,24.39066667,3_20,0.685,1.840333333,13.763,0.843,1.695333333,0.912359973,939,EB,1742,2002,25.6,,15.2,RB,A,85,2135,18/01/2008,4366,71,BrM,1,28/08/2008
940,3,1,3,11.91766667,3_3,0.052,2.002666667,12.03366667,0.211,1.714,0.000494537,940,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
941,3,2,3,15.1845,3_3,20.308,1.951,16.53833333,0.427,1.723666667,0.000566814,941,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
942,3,3,3,18.642,3_3,0.387,1.932666667,19.92633333,0.476,1.746666667,0.000930995,942,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
943,3,4,3,22.02566667,3_3,0.187,1.999333333,23.30933333,0.476,1.756333333,0.001088154,943,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
944,3,5,3,26.06833333,3_3,0.15,1.961,26.873,81.05,1.495666667,0.012560249,944,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
945,3,6,3,29.29833333,3_3,0.524,1.919333333,29.48266667,0.028,1.716333333,0.006206997,945,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
946,3,3162,3,25.51433333,3_3,0.588,2.031666667,14.93166667,0.394,1.699,1.272297508,946,EB,1790,2002,24.8,,15.8,RB,A,75,1914,11/08/2006,3843,112,BrF,0,02/09/2008
947,3,3163,3,23.96366667,3_3,0.3,1.908666667,13.775,0.205,1.685333333,0.892888482,947,EB,3444,2004,24.3,,15.0,LB,SA,75,1914,11/08/2006,3843,112,H,0,07/09/2010
948,3,3167,3,24.377,3_3,0.247,1.844333333,13.87833333,0.679,1.706333333,1.227575989,948,EB,3003,2004,24.0,,15.1,LB,SA,75,1916,12/08/2006,3874,179,BrF,0,24/08/2007
949,3,3168,3,24.34566667,3_3,0.621,1.964333333,14.60366667,1.167,1.673,0.687827312,949,EB,2991,2003,25.4,,16.7,RB,A,75,1916,12/08/2006,3874,179,BrM,1,06/09/2015
950,3,3169,3,24.83433333,3_3,0.351,1.87,14.602,1.663,1.702333333,1.073837847,950,EB,3606,2005,24.0,,15.6,LB,SA,75,1916,12/08/2006,3874,179,ABX,0,06/08/2013
951,3,3172,3,24.676,3_3,0.128,1.840333333,13.675,0.52,1.676,1.564392064,951,EB,3093,2004,26.8,,17.3,LB,SA,75,1916,12/08/2006,3817,76,BrM,1,28/05/2013
952,3,3179,3,34.99333333,3_3,1.215,2.042,24.687,0.092,1.712333333,5.86944845,952,EB,1580,2000,24.1,,16.5,RB,A,75,1919,14/08/2006,3840,109,BrF,0,13/08/2015
953,3,3189,3,26.295,3_3,0.527,2.111333333,15.58566667,0.577,1.716,1.571677032,953,EB,4886,2006,26.3,,17.2,G,J,75,1922,16/08/2006,3825,86,OFL,1,28/08/2007
954,3,1,4,11.726,3_4,0.138,1.987,11.39,0.227,1.706666667,0.000640339,954,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
955,3,2,4,14.66666667,3_4,0.15,2.005666667,15.884,0.346,1.720333333,0.000392876,955,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
956,3,3,4,18.18,3_4,0.03,2.027,19.88566667,0.263,1.753333333,0.000440917,956,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
957,3,4,4,21.93833333,3_4,0.126,1.987333333,23.387,0.333,1.724333333,0.001077578,957,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
958,3,5,4,25.74433333,3_4,0.647,1.912666667,25.7965,25.839,1.49,0.017106231,958,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
959,3,6,4,28.793,3_4,0.582,1.904,27.444,0.597,1.717,0.01214277,959,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
960,3,3195,4,24.17933333,3_4,0.2,2.008333333,14.52333333,0.102,1.661,0.588193145,960,EB,2963,2003,24.8,,15.8,RB,A,75,1922,16/08/2006,3825,86,H,0,29/07/2010
961,3,3200,4,24.27666667,3_4,0.264,1.840666667,13.54066667,0.255,1.663,1.194943733,961,EB,1797,2002,24.6,,16.5,RB,A,75,1924,17/08/2006,3829,92,BrM,1,17/08/2006
962,3,3203,4,24.65866667,3_4,0.268,1.854333333,13.602,0.157,1.696,1.513412228,962,EB,1774,2002,24.8,,16.2,RB,A,75,1930,22/08/2006,3814,72,BrM,1,28/08/2008
963,3,3207,4,24.20866667,3_4,0.843,1.989,13.03,0.129,1.704333333,1.398327511,963,EB,3573,2005,24.8,,15.2,LB,SA,75,1930,22/08/2006,3783,32,ABX,1,24/08/2006
964,3,3210,4,23.91233333,3_4,0.506,1.865,13.632,0.184,1.597666667,0.815624125,964,EB,3612,2005,26.0,,15.9,LB,SA,75,1932,23/08/2006,3813,71,ABX,1,17/02/2010
965,3,3211,4,24.63566667,3_4,0.222,1.841333333,13.81733333,0.673,1.696666667,1.344376822,965,EB,1742,2002,25.4,,15.8,RB,A,75,1932,23/08/2006,3813,71,BrM,1,28/08/2008
966,3,3217,4,24.23166667,3_4,0.118,1.862666667,13.48266667,0.305,1.683,1.207346979,966,EB,453,1992,26.7,,16.5,RB,A,75,1934,24/08/2006,3811,69,BrM,1,17/02/2010
967,3,3222,4,24.764,3_4,0.951,2.013,14.44466667,0.235,1.688,0.938343076,967,EB,1757,2001,24.4,,16.8,RB,A,75,1938,30/08/2006,3802,58,BrF,0,07/09/2010
968,3,1,5,12.01766667,3_5,0.174,1.984333333,12.369,0.462,1.707,0.000380572,968,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
969,3,2,5,15.15966667,3_5,0.186,1.970333333,16.81566667,0.623,1.700666667,0.000329771,969,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
970,3,3,5,18.61933333,3_5,0.099,1.944666667,20.60533333,0.378,1.720333333,0.000478478,970,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
971,3,4,5,22.04133333,3_5,0.071,1.999666667,23.91333333,0.518,1.737,0.00063989,971,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
972,3,5,5,26.24566667,3_5,0.135,1.948333333,26.572,31.466,1.478333333,0.015980879,972,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
973,3,6,5,29.535,3_5,0.797,1.925333333,28.36933333,0.738,1.717,0.009974366,973,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
974,3,3223,5,24.732,3_5,0.608,2.011333333,14.77666667,0.422,1.667333333,0.61684205,974,EB,1616,2000,26.4,,17.2,RB,A,75,1938,30/08/2006,3851,127,BrM,1,26/02/2012
975,3,3224,5,25.046,3_5,0.274,1.886333333,14.48166667,0.474,1.666333333,0.947798386,975,EB,4871,2006,24.5,,14.5,G,J,75,1938,30/08/2006,3814,72,OFL,0,05/09/2010
976,3,3227,5,23.626,3_5,0.235,1.857333333,13.553,0.475,1.683666667,0.654694276,976,EB,1024,1995,25.1,,14.5,RB,A,75,1938,30/08/2006,3851,127,BrF,0,28/08/2007
977,3,3229,5,26.053,3_5,0.869,1.981333333,15.53866667,0.158,1.708666667,1.050525182,977,EB,3094,2004,25.4,,17.1,RB,A,75,1938,30/08/2006,3798,53,BrF,0,23/09/2015
978,3,3234,5,24.34266667,3_5,0.346,1.857666667,13.33966667,0.264,1.68,1.134494316,978,EB,1752,2002,25.6,,16.9,RB,A,75,1941,01/09/2006,3794,47,BrM,1,30/08/2010
979,3,3235,5,24.048,3_5,0.109,1.858,14.221,2.697,1.668333333,0.5927056,979,EB,1739,2002,25.0,,16.0,RB,A,75,1938,30/08/2006,3798,53,BrM,1,27/07/2008
980,3,3238,5,24.01133333,3_5,0.15,1.876,13.568,0.362,1.666666667,0.792550127,980,EB,1589,2000,23.4,,15.6,RB,A,75,1943,02/09/2006,3772,15,BrF,0,14/08/2008
981,3,4111,5,25.769,3_5,0.58,2.067666667,14.948,0.282,1.662,1.157432292,981,EB,3093,2004,26.8,,17.3,RB,A,82,2044,15/06/2007,4217,40,BrM,1,28/05/2013
982,3,1,6,11.96566667,3_6,0.066,1.980333333,11.68466667,0.145,1.732666667,0.000683225,982,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
983,3,2,6,15.21066667,3_6,0.061,1.992333333,16.40633333,0.332,1.713666667,0.000436558,983,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
984,3,3,6,18.59466667,3_6,0.093,1.924666667,20.12933333,0.684,1.737666667,0.000757812,984,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
985,3,4,6,22.137,3_6,0.076,1.973,23.38433333,0.207,1.726,0.001197999,985,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
986,3,6,6,29.57066667,3_6,0.586,1.923666667,28.56433333,0.952,1.728666667,0.010068871,986,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
987,3,3386,6,25.14433333,3_6,0.397,1.881333333,15.11966667,0.607,1.654666667,0.846955885,987,EB,2980,2004,25.6,,15.8,RB,A,82,2043,14/06/2007,4190,3,BrM,1,08/01/2008
988,3,3388,6,25.06066667,3_6,0.612,2.069,14.04966667,0.237,1.68,1.243149754,988,EB,1710,2002,26.0,,16.9,RB,A,82,2044,15/06/2007,4247,77,BrM,1,31/08/2015
989,3,3394,6,24.75633333,3_6,0.272,1.861,13.929,0.199,1.707666667,1.335974737,989,EB,4876,2006,24.8,,13.7,LB,SA,82,2044,15/06/2007,4216,39,ABX,0,03/02/2008
990,3,3672,6,25.227,3_6,0.575,1.939333333,14.653,0.313,1.703333333,1.145651654,990,EB,1415,1998,24.5,,14.6,RB,A,82,2044,15/06/2007,4216,39,BrF,0,25/01/2013
991,3,3680,6,25.03766667,3_6,0.126,1.864333333,15.794,0.591,1.703,0.583736412,991,EB,1831,2003,25.6,,17.2,RB,A,82,2041,17/06/2007,4229,57,BrM,1,17/06/2007
992,3,3683,6,26.14533333,3_6,0.285,1.847666667,17.97133333,0.194,1.635,0.388527944,992,EB,1852,2003,24.6,,15.5,RB,A,82,2212,16/06/2007,4246,76,BrF,0,04/08/2014
993,3,3689,6,25.19733333,3_6,0.262,1.894,15.76566667,0.163,1.661333333,0.628879773,993,EB,3486,2005,26.2,,16.8,RB,A,82,2213,19/06/2007,4274,116,BrM,1,15/09/2015
994,3,4112,6,24.74566667,3_6,0.348,1.933,15.11066667,0.154,1.678333333,0.642911269,994,EB,4879,2006,25.8,,16.2,LB,SA,82,2212,16/06/2007,4303,179,ABX,1,16/06/2007
995,3,1,61,13.852,3_61,0.097,1.88,10.7505,10.763,1.472333333,0.004358093,995,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
996,3,2,61,15.559,3_61,0.174,1.86,13.78233333,0.445,1.733,0.006143565,996,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
997,3,3381,61,24.17733333,3_61,0.57,1.783333333,13.79333333,0.177,1.690333333,1.294347394,997,EB,1740,2001,25.2,,15.5,RB,A,77,2040,13/06/2007,3882,5,BrF,0,24/01/2009
998,3,3844,61,24.649,3_61,0.71,1.840333333,15.48933333,0.163,1.667,0.675124146,998,EB,4939,2006,24.4,,15.1,RB,A,82,2236,30/08/2007,4191,4,ABX,1,19/08/2010
999,3,3862,61,24.18933333,3_61,0.251,1.815,13.74533333,0.075,1.686,1.297674146,999,EB,1740,2001,25.5,,15.1,RB,A,85,2131,09/01/2008,4316,5,BrF,0,24/01/2009
1000,3,3865,61,23.87333333,3_61,1.017,1.824333333,13.28733333,1.247,1.700666667,1.383573786,1000,EB,4887,2006,26.2,,16.0,LB,A,85,2238,10/01/2008,4396,112,ABX,1,23/08/2010
1001,3,3912,61,24.868,3_61,0.635,1.839666667,15.61033333,0.024,1.672666667,0.726032233,1001,EB,4939,2006,25.7,,16.2,,A,85,2244,22/01/2008,4319,8,BrM,1,19/08/2010
1002,3,3953,61,29.77733333,3_61,0.409,1.852666667,21.10866667,0.348,1.772666667,0.648174712,1002,EB,4939,2006,26.0,,16.7,,A,87,2158,13/07/2008,4501,8,BrM,1,19/08/2010
1003,3,3954,61,25.53433333,3_61,0.236,1.867666667,16.12633333,0.282,1.685,0.833444497,1003,EB,1740,2001,24.5,,15.0,RB,A,87,2158,13/07/2008,4499,5,BrF,0,24/01/2009
1004,3,3984,61,24.47066667,3_61,0.036,1.834,14.797,0.223,1.703333333,0.885089669,1004,EB,4887,2006,26.1,,17.5,,A,87,2168,22/07/2008,4576,112,H,1,23/08/2010
1005,3,4045,61,24.70766667,3_61,0.693,1.781666667,14.08,1.743,1.655,1.459997283,1005,EB,1740,2001,25.1,,15.2,RB,A,90,2279,03/01/2009,4065,5,BrF,0,24/01/2009
1006,3,4299,61,23.79433333,3_61,0.102,1.854666667,13.82166667,0.426,1.648666667,0.906869235,1006,EB,4887,2006,26.4,,16.0,RB,A,92,2406,08/07/2009,4751,75,BrM,1,23/08/2010
1006,3,4299,61,23.79433333,3_61,0.102,1.854666667,13.82166667,0.426,1.648666667,0.906869235,1006,EB,4887,2006,26.4,,16.0,RB,A,92,2406,08/07/2009,4775,112,SEEN1,1,23/08/2010
1007,3,4320,61,23.90133333,3_61,0.602,1.827666667,13.47566667,0.288,1.711666667,1.288587589,1007,EB,4939,2006,26.3,,16.1,RB,A,92,2444,11/07/2009,4702,8,BrM,1,19/08/2010
1008,3,1,62,14.456,3_62,0.066,1.83,11.291,11.404,1.478666667,0.006907847,1008,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
1009,3,2,62,15.96633333,3_62,0.049,1.874,14.04833333,0.814,1.725666667,0.006190433,1009,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
1010,3,3808,62,23.815,3_62,0.19,1.827333333,14.317,0.449,1.695333333,0.753487473,1010,EB,1826,2003,24.7,,16.0,RB,A,82,2230,15/08/2007,4195,9,BrF,0,23/09/2015
1011,3,3848,62,25.128,3_62,0.153,1.842666667,14.21633333,0.407,1.689,1.734567533,1011,EB,1762,2002,26.0,,16.0,RB,A,82,2237,31/08/2007,4200,15,BrM,1,15/09/2015
1012,3,3861,62,23.48366667,3_62,0.141,1.804,13.977,0.478,1.664666667,0.733194749,1012,EB,1826,2003,24.4,,15.8,RB,A,85,2131,09/01/2008,4320,9,BrF,0,23/09/2015
1013,3,3891,62,24.277,3_62,0.466,1.839666667,13.84733333,0.616,1.708,1.283149373,1013,EB,1752,2002,25.2,,15.9,RB,A,85,2135,18/01/2008,4347,47,BrM,1,30/08/2010
1014,3,3905,62,24.3215,3_62,1.932,1.748333333,14.7035,1.537,1.673666667,0.871658476,1014,EB,1762,2002,26.4,,17.2,RB,A,85,2136,21/01/2008,4325,15,BrM,1,15/09/2015
1015,3,3915,62,24.275,3_62,0.107,1.817333333,13.638,0.455,1.703333333,1.449265209,1015,EB,1868,2003,26.3,,17.2,,A,85,2139,25/01/2008,4346,46,BrM,1,02/09/2015
1016,3,3967,62,26.662,3_62,0.178,1.808333333,16.87033333,0.442,1.716333333,1.065283222,1016,EB,1826,2003,24.7,,15.9,RB,A,87,2161,16/07/2008,4502,9,BrF,0,23/09/2015
1017,3,4082,62,24.70866667,3_62,0.54,1.785666667,13.99833333,0.268,1.636,1.459789982,1017,EB,1752,2002,25.0,,16.2,RB,A,90,2298,04/02/2009,4095,47,BrM,1,30/08/2010
1018,3,4087,62,24.99533333,3_62,0.318,1.992,16.04866667,0.331,1.717,0.579234405,1018,EB,5071,2007,26.6,,15.9,RB,A,90,2300,05/02/2009,4064,4,AB,1,26/08/2010
1019,3,4091,62,24.26566667,3_62,0.293,1.810666667,15.07333333,0.444,1.708666667,0.676258845,1019,EB,5071,2007,26.7,,15.6,,A,90,2302,09/02/2009,4064,4,AB,1,26/08/2010
1020,3,4182,62,24.21733333,3_62,0.427,1.836666667,13.50833333,0.415,1.686666667,1.442929901,1020,EB,1752,2002,25.4,,16.5,RB,A,87,2372,29/07/2008,4528,47,BrM,1,30/08/2010
1021,3,1,63,13.836,3_63,0.336,1.908666667,9.309,9.334,1.565666667,0.007397805,1021,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
1022,3,2,63,15.29433333,3_63,0.249,1.921333333,11.931,0.293,1.865333333,0.009203906,1022,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
1023,3,3160,63,23.45933333,3_63,0.189,1.879,12.23933333,0.268,1.789,1.46501688,1023,EB,2964,2003,25.7,,17.3,RB,A,75,1911,09/08/2006,3816,75,BrM,1,19/01/2008
1024,3,3188,63,23.79566667,3_63,0.071,1.905,12.98466667,0.138,1.818333333,1.186251536,1024,EB,3089,2004,26.8,,17.8,RB,A,75,1922,16/08/2006,3825,86,BrM,1,14/09/2015
1025,3,3193,63,24.14933333,3_63,0.233,1.862,13.669,0.14,1.782666667,0.991626784,1025,EB,2978,2003,24.6,,15.1,RB,A,75,1922,16/08/2006,3825,86,BrF,0,18/07/2013
1026,3,3682,63,24.17966667,3_63,0.672,1.874666667,12.96133333,0.348,1.8,1.538211045,1026,EB,2964,2003,26.3,,17.1,RB,A,82,2212,16/06/2007,4245,75,BrM,1,19/01/2008
1027,3,3690,63,24.245,3_63,0.052,1.908333333,13.19033333,0.403,1.819666667,1.400489555,1027,EB,3089,2004,26.9,,17.2,RB,A,82,2214,20/06/2007,4254,86,BrM,1,14/09/2015
1028,3,3694,63,24.194,3_63,0.35,1.897,13.74633333,0.03,1.798,0.964564757,1028,EB,2978,2003,24.7,,15.2,RB,A,82,2214,20/06/2007,4254,86,BrF,0,18/07/2013
1029,3,3870,63,23.787,3_63,0.321,1.865,12.53533333,0.397,1.786333333,1.528265729,1029,EB,2966,2004,25.7,,16.2,RB,A,85,2132,11/01/2008,4330,24,BrM,1,14/09/2015
1030,3,3925,63,23.225,3_63,0.121,1.928,12.823,0.543,1.806666667,0.870726342,1030,EB,2978,2003,24.3,,15.3,RB,A,85,2247,31/01/2008,4378,86,BrF,0,18/07/2013
1031,3,3971,63,25.33633333,3_63,0.526,1.889666667,14.45966667,0.549,1.768666667,1.309528487,1031,EB,2966,2004,25.4,,15.9,RB,A,87,2165,18/07/2008,4512,24,BrM,1,14/09/2015
1032,3,4229,63,23.62433333,3_63,0.325,1.974666667,12.844,0.117,1.801666667,1.067924682,1032,EB,1868,2003,26.3,,17.8,RB,A,87,2198,11/08/2008,4527,46,BrM,1,02/09/2015
1033,3,4274,63,23.87433333,3_63,0.421,1.919666667,12.79433333,0.27,1.801666667,1.356841131,1033,EB,1868,2003,26.3,,17.1,RB,A,92,2400,17/06/2009,4729,46,BrM,1,02/09/2015
1034,3,1,64,13.99233333,3_64,0.097,1.934,8.9855,9.047,1.580666667,0.005478262,1034,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
1035,3,2,64,15.22233333,3_64,0.249,1.921666667,11.719,0.375,1.863,0.005554855,1035,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
1036,3,3110,64,24.67866667,3_64,0.554,2.009666667,13.16066667,0.273,1.8,1.02169473,1036,EB,3446,2005,23.8,,14.0,RB,A,75,1865,16/07/2006,3779,26,BrF,0,15/03/2010
1037,3,3150,64,23.388,3_64,0.083,1.861333333,12.263,0.685,1.805333333,0.826905757,1037,EB,3462,2005,24.4,,16.9,RB,A,75,1906,07/08/2006,3789,40,BrF,0,09/09/2015
1038,3,3855,64,25.08366667,3_64,0.456,1.865666667,14.729,0.472,1.818333333,0.54949591,1038,EB,3089,2004,26.6,,17.3,RB,A,82,2121,03/09/2007,4254,86,BrM,1,14/09/2015
1039,3,3864,64,23.82333333,3_64,0.563,1.9,12.28133333,0.246,1.789666667,1.021115051,1039,EB,3446,2005,23.9,,14.1,RB,A,85,2238,10/01/2008,4332,26,BrF,0,15/03/2010
1040,3,3876,64,23.993,3_64,0.052,1.902666667,13.04733333,0.172,1.812,0.736991142,1040,EB,3462,2005,24.5,,16.0,RB,A,85,2239,12/01/2008,4342,40,BrF,0,09/09/2015
1041,3,3921,64,23.99133333,3_64,0.032,1.889666667,13.09833333,0.487,1.788333333,0.711983168,1041,EB,3574,2005,23.3,,14.0,,A,85,2141,29/01/2008,4409,137,BrF,0,18/09/2015
