"","Objective","PlateID","BloodID","U_PlateID","Cq.GAPDH","Eff.GAPDH","Diff.GAPDH","Cq.Telomere","Eff.Telomere","Diff.Telomere","RTL","Whodunnit"
"1",1,1,1,"1_1",7.52333333333333,2.097,0.0910000000000002,9.652,1.761,0.279,3.86024060004349e-05,"EB"
"2",1,1,2,"1_1",10.934,2.11266666666667,0.220000000000001,13.448,1.76966666666667,0.433,5.09882407460788e-05,"EB"
"3",1,1,3,"1_1",14.4073333333333,2.068,0.189,18.3523333333333,1.80633333333333,0.349,4.84525330665117e-05,"EB"
"4",1,1,4,"1_1",17.7063333333333,2.035,0.126000000000001,22.002,1.794,0.350000000000001,7.28271598329165e-05,"EB"
"5",1,1,6,"1_1",24.34,1.98833333333333,0.183,26.614,1.738,1.073,0.000814509578433474,"EB"
"6",1,1,2403,"1_1",23.707,1.987,0.364999999999998,12.8343333333333,1.72966666666667,0.558999999999999,1.0627577323421,"EB"
"7",1,1,2404,"1_1",23.9466666666667,1.863,0.226000000000003,13.4535,1.65633333333333,1.49,0.910500270735983,"EB"
"8",1,1,2511,"1_1",23.279,1.88633333333333,0.25,12.2486666666667,1.72466666666667,0.599,1.18823538493715,"EB"
"9",1,1,2522,"1_1",23.5696666666667,1.897,0.346,11.7263333333333,1.68733333333333,0.391999999999999,1.76859939237669,"EB"
"10",1,1,2544,"1_1",23.838,1.97866666666667,0.811999999999998,12.0953333333333,1.70233333333333,0.657,1.6831708074273,"EB"
"11",1,1,2577,"1_1",23.641,1.89833333333333,0.0599999999999987,12.8966666666667,1.72266666666667,0.122,1.03891786527727,"EB"
"12",1,10,1,"1_10",7.33966666666667,2.11866666666667,0.136,10.8206666666667,1.70866666666667,0.599,1.969392965871e-05,"EB"
"13",1,10,2,"1_10",10.5766666666667,1.98766666666667,0.15,14.5243333333333,1.73366666666667,0.350999999999999,7.53514618547422e-05,"EB"
"14",1,10,3,"1_10",14.13,2.09233333333333,0.043000000000001,19.1803333333333,1.761,0.337,3.64629927474912e-05,"EB"
"15",1,10,4,"1_10",17.71,2.09166666666667,0.427,22.9283333333333,1.764,0.286000000000001,6.07427140985801e-05,"EB"
"16",1,10,5,"1_10",21.0733333333333,2.00933333333333,0.132000000000001,26.844,1.48333333333333,26.866,0.00073893764952839,"EB"
"17",1,10,6,"1_10",24.2046666666667,1.992,0.0109999999999992,30.4193333333333,1.75366666666667,0.0600000000000023,0.000116432852743252,"EB"
"18",1,10,2571,"1_10",23.5423333333333,1.878,0.0339999999999989,12.782,1.672,0.58,1.43265372349569,"EB"
"19",1,10,2575,"1_10",23.7246666666667,1.90566666666667,0.276,13.0173333333333,1.681,0.172000000000001,1.41967016215986,"EB"
"20",1,10,2576,"1_10",23.2843333333333,1.847,0.169999999999998,12.7033333333333,1.7,0.309000000000001,1.33955130807009,"EB"
"21",1,10,2578,"1_10",23.7726666666667,1.871,0.644000000000002,12.6473333333333,1.661,0.184000000000001,1.75610155012983,"EB"
"22",1,10,2579,"1_10",23.9293333333333,1.875,0.379000000000001,13.1826666666667,1.69033333333333,0.33,1.51493976290371,"EB"
"23",1,10,2582,"1_10",24.2566666666667,1.94166666666667,0.0650000000000013,13.176,1.71233333333333,0.447000000000001,1.88528937344226,"EB"
"24",1,12,1,"1_12",7.66966666666667,2.058,0.0389999999999997,11.375,1.71566666666667,0.539999999999999,3.15826173013394e-05,"EB"
"25",1,12,2,"1_12",11.155,2.098,0.296000000000001,15.2586666666667,1.73866666666667,0.263,3.68273640165629e-05,"EB"
"26",1,12,3,"1_12",14.592,2.02333333333333,0.0989999999999984,19.7563333333333,1.72533333333333,0.318999999999999,5.90637747618912e-05,"EB"
"27",1,12,4,"1_12",18.1073333333333,1.96066666666667,0.277000000000001,23.4213333333333,1.74333333333333,0.349,0.00010929895025324,"EB"
"28",1,12,5,"1_12",21.5246666666667,1.997,0.238,27.2375,1.49933333333333,27.305,0.000723088892029436,"EB"
"29",1,12,6,"1_12",24.6776666666667,2.002,0.321999999999999,30.2603333333333,1.74433333333333,0.349,0.000200268205341256,"EB"
"30",1,12,2412,"1_12",23.9286666666667,1.93266666666667,0.279999999999998,14.18,1.66333333333333,0.234999999999999,0.896382249251984,"EB"
"31",1,12,2413,"1_12",23.8116666666667,1.88733333333333,0.312999999999999,13.2615,1.717,1.936,1.46392024799238,"EB"
"32",1,12,2414,"1_12",24.2046666666667,1.93933333333333,0.445999999999998,13.8045,1.678,0.914999999999999,1.31662375932017,"EB"
"33",1,12,2418,"1_12",23.838,1.85733333333333,0.0980000000000025,13.538,1.67333333333333,0.901999999999999,1.24451455060905,"EB"
"34",1,12,2420,"1_12",24.622,1.92933333333333,0.0259999999999998,14.6526666666667,1.69966666666667,0.0269999999999992,1.13349022527102,"EB"
"35",1,13,4,"1_13",36.824,1.898,1.248,22.9366666666667,1.75933333333333,0.317,26.4397478447278,"EB"
"36",1,13,5,"1_13",38.2365,1.86766666666667,1.372,25.7615,1.48766666666667,25.801,60.4796970870417,"EB"
"37",1,13,2421,"1_13",23.798,1.83366666666667,0.0890000000000022,14.1616666666667,1.659,0.700000000000001,0.864862296314747,"EB"
"38",1,13,2423,"1_13",23.9066666666667,1.88533333333333,0.0680000000000014,13.0996666666667,1.72333333333333,0.23,1.67228513236622,"EB"
"39",1,13,2436,"1_13",24.5443333333333,1.88933333333333,0.210000000000001,14.315,1.725,0.346,1.29300990890574,"EB"
"40",1,13,2442,"1_13",23.711,1.87866666666667,0.321000000000002,13.966,1.69366666666667,0.295,0.902859581798492,"EB"
